i_iter:500,        miou:35.35000 
i_iter:1000,        miou:35.05000 
i_iter:1500,        miou:35.54000 
i_iter:2000,        miou:37.35000 
i_iter:2500,        miou:32.76000 
i_iter:3000,        miou:36.01000 
i_iter:3500,        miou:32.08000 
i_iter:4000,        miou:33.98000 
i_iter:4500,        miou:35.11000 
i_iter:5000,        miou:35.85000 
i_iter:5500,        miou:36.90000 
i_iter:6000,        miou:37.28000 
i_iter:6500,        miou:35.49000 
i_iter:7000,        miou:33.11000 
i_iter:7500,        miou:32.72000 
i_iter:8000,        miou:35.29000 
i_iter:8500,        miou:35.46000 
i_iter:9000,        miou:38.15000 
i_iter:9500,        miou:38.27000 
i_iter:10000,        miou:31.48000 
i_iter:10500,        miou:35.95000 
i_iter:11000,        miou:34.42000 
i_iter:11500,        miou:34.74000 
i_iter:12000,        miou:36.99000 
i_iter:12500,        miou:37.90000 
i_iter:13000,        miou:35.73000 
i_iter:13500,        miou:35.71000 
i_iter:14000,        miou:36.62000 
i_iter:14500,        miou:37.01000 
i_iter:15000,        miou:34.32000 
i_iter:15500,        miou:33.45000 
i_iter:16000,        miou:35.71000 
i_iter:16500,        miou:32.58000 
i_iter:17000,        miou:33.25000 
i_iter:17500,        miou:35.93000 
i_iter:18000,        miou:35.13000 
i_iter:18500,        miou:35.74000 
i_iter:19000,        miou:36.50000 
i_iter:19500,        miou:37.47000 
i_iter:20000,        miou:32.16000 
i_iter:20500,        miou:35.07000 
i_iter:21000,        miou:36.84000 
i_iter:21500,        miou:35.74000 
i_iter:22000,        miou:34.03000 
i_iter:22500,        miou:35.97000 
i_iter:23000,        miou:34.83000 
i_iter:23500,        miou:34.01000 
i_iter:24000,        miou:35.37000 
i_iter:24500,        miou:34.93000 
i_iter:25000,        miou:34.14000 
i_iter:25500,        miou:33.79000 
i_iter:26000,        miou:34.50000 
i_iter:26500,        miou:34.41000 
i_iter:27000,        miou:33.23000 
i_iter:27500,        miou:35.20000 
i_iter:28000,        miou:36.97000 
i_iter:28500,        miou:35.06000 
i_iter:29000,        miou:35.23000 
i_iter:29500,        miou:35.81000 
i_iter:30000,        miou:33.57000 
i_iter:30500,        miou:36.03000 
i_iter:31000,        miou:36.01000 
i_iter:31500,        miou:36.23000 
i_iter:32000,        miou:36.00000 
i_iter:32500,        miou:34.75000 
i_iter:33000,        miou:35.18000 
i_iter:33500,        miou:34.63000 
i_iter:34000,        miou:35.58000 
i_iter:34500,        miou:35.05000 
i_iter:35000,        miou:31.28000 
i_iter:35500,        miou:33.84000 
i_iter:36000,        miou:36.44000 
i_iter:36500,        miou:32.41000 
i_iter:37000,        miou:33.96000 
i_iter:37500,        miou:34.71000 
i_iter:38000,        miou:33.89000 
i_iter:38500,        miou:33.51000 
i_iter:39000,        miou:35.85000 
i_iter:39500,        miou:36.00000 
i_iter:40000,        miou:36.19000 
i_iter:40500,        miou:35.53000 
i_iter:41000,        miou:35.67000 
i_iter:41500,        miou:35.64000 
i_iter:42000,        miou:32.81000 
i_iter:42500,        miou:33.00000 
i_iter:43000,        miou:35.12000 
i_iter:43500,        miou:36.53000 
i_iter:44000,        miou:35.01000 
i_iter:44500,        miou:34.56000 
i_iter:45000,        miou:29.95000 
i_iter:45500,        miou:29.69000 
i_iter:46000,        miou:34.30000 
i_iter:46500,        miou:33.76000 
i_iter:47000,        miou:33.09000 
i_iter:47500,        miou:30.18000 
i_iter:48000,        miou:31.76000 
i_iter:48500,        miou:31.65000 
i_iter:49000,        miou:28.40000 
i_iter:49500,        miou:33.42000 
i_iter:50000,        miou:32.51000 
i_iter:50500,        miou:35.49000 
i_iter:51000,        miou:34.12000 
i_iter:51500,        miou:33.15000 
i_iter:52000,        miou:33.18000 
i_iter:52500,        miou:34.20000 
i_iter:53000,        miou:36.05000 
i_iter:53500,        miou:32.52000 
i_iter:54000,        miou:36.47000 
i_iter:54500,        miou:33.94000 
i_iter:55000,        miou:35.97000 
i_iter:55500,        miou:34.52000 
i_iter:56000,        miou:38.29000 
i_iter:56500,        miou:35.88000 
i_iter:57000,        miou:33.95000 
i_iter:57500,        miou:34.62000 
i_iter:58000,        miou:35.31000 
i_iter:58500,        miou:34.04000 
i_iter:59000,        miou:36.26000 
i_iter:59500,        miou:37.50000 
i_iter:60000,        miou:34.34000 
i_iter:60500,        miou:34.67000 
i_iter:61000,        miou:35.76000 
i_iter:61500,        miou:35.71000 
i_iter:62000,        miou:33.03000 
i_iter:62500,        miou:33.16000 
i_iter:63000,        miou:37.42000 
i_iter:63500,        miou:38.44000 
i_iter:64000,        miou:36.27000 
i_iter:64500,        miou:36.62000 
i_iter:65000,        miou:35.88000 
i_iter:65500,        miou:34.85000 
i_iter:66000,        miou:36.94000 
i_iter:66500,        miou:35.15000 
i_iter:67000,        miou:35.92000 
i_iter:67500,        miou:35.45000 
i_iter:68000,        miou:34.80000 
i_iter:68500,        miou:35.15000 
i_iter:69000,        miou:36.44000 
i_iter:69500,        miou:35.22000 
i_iter:70000,        miou:35.30000 
i_iter:70500,        miou:34.54000 
i_iter:71000,        miou:37.30000 
i_iter:71500,        miou:35.12000 
i_iter:72000,        miou:34.06000 
i_iter:72500,        miou:32.66000 
i_iter:73000,        miou:34.77000 
i_iter:73500,        miou:33.37000 
i_iter:74000,        miou:33.18000 
i_iter:74500,        miou:35.15000 
i_iter:75000,        miou:35.81000 
i_iter:75500,        miou:36.63000 
i_iter:76000,        miou:34.84000 
i_iter:76500,        miou:37.27000 
i_iter:77000,        miou:31.24000 
i_iter:77500,        miou:34.97000 
i_iter:78000,        miou:34.41000 
i_iter:78500,        miou:35.81000 
i_iter:79000,        miou:35.86000 
i_iter:79500,        miou:36.33000 
i_iter:80000,        miou:36.24000 
i_iter:80500,        miou:36.77000 
i_iter:81000,        miou:37.11000 
i_iter:81500,        miou:35.44000 
i_iter:82000,        miou:34.98000 
